web-scraper-order,web-scraper-start-url,Country,Country-href,State,State-href,City,City-href,LOCATIONS,Status,AQI-US,AQI-IN,PM25,PM10,Temp,Humid
"1681839188-174","https://www.aqi.in/","Zambia","https://www.aqi.in/dashboard/zambia","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka/lusaka","CEEEZ Parirenyetwa Rd","GOOD","33","13","8","8","25","50"
"1681839188-175","https://www.aqi.in/","Zambia","https://www.aqi.in/dashboard/zambia","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka","Lusaka","https://www.aqi.in/dashboard/zambia/lusaka/lusaka","SupaMoto Lunsemfwa Rd","GOOD","66","32","19","20","25","50"
"1681839197-176","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Tuyen Quang","https://www.aqi.in/dashboard/vietnam/tuyen-quang","Tuyen Quang","https://www.aqi.in/dashboard/vietnam/tuyen-quang/tuyen-quang","AQSEA_VN_012","UNHEALTHY","182","285","116","125","26","83"
"1681839202-177","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh/tra-vinh","Tra Vinh/xa Dan Thanh","GOOD","18","19","3","6","26","79"
"1681839202-178","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh","Tra Vinh","https://www.aqi.in/dashboard/vietnam/tra-vinh/tra-vinh","Tra Vinh/xa Dong Hai","GOOD","1","1","0","1","26","79"
"1681839208-179","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Thanh Hoa","https://www.aqi.in/dashboard/vietnam/thanh-hoa","Thanh Hoa","https://www.aqi.in/dashboard/vietnam/thanh-hoa/thanh-hoa","AQSEA_VN_018","MODERATE","134","82","49","59","25","86"
"1681839213-180","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Thai Nguyen","https://www.aqi.in/dashboard/vietnam/thai-nguyen","Thai Nguyen","https://www.aqi.in/dashboard/vietnam/thai-nguyen/thai-nguyen","Thai Nguyen Hung Vuong Street Thai Nguyen City","POOR","96","130","27","145","25","92"
"1681839219-181","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Quang Ninh","https://www.aqi.in/dashboard/vietnam/quang-ninh","Ha Long","https://www.aqi.in/dashboard/vietnam/quang-ninh/ha-long","Ha Long","GOOD","13","14","0","0","24","93"
"1681839222-182","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Quang Ninh","https://www.aqi.in/dashboard/vietnam/quang-ninh","Cam Pha","https://www.aqi.in/dashboard/vietnam/quang-ninh/cam-pha","AQSEA_VN_017","MODERATE","144","89","53","69","24","90"
"1681839228-183","https://www.aqi.in/","Vietnam","https://www.aqi.in/dashboard/vietnam","Phu Tho","https://www.aqi.in/dashboard/vietnam/phu-tho","Viet Tri","https://www.aqi.in/dashboard/vietnam/phu-tho/viet-tri","Viet Tri","MODERATE","84","51","28","51","26","89"
